City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Albany,42.6001,-73.9662,30,88,100,1.99,US,1612296371
Mataura,-46.1927,168.8643,61.11,76,100,1.45,NZ,1612296213
Bogorodskoye,56.55,37.8833,16.14,96,98,7.65,RU,1612296371
Sioux Lookout,50.1001,-91.917,23,80,90,10.36,CA,1612296372
Karīmpur,23.9667,88.6167,55.08,48,0,4.56,IN,1612296372
Lázaro Cárdenas,17.9583,-102.2,83.48,58,0,10.36,MX,1612296242
Klaksvík,62.2266,-6.589,37.4,70,20,14.97,FO,1612296180
Dzerzhinsk,56.2389,43.4631,3.2,85,8,3.87,RU,1612296321
Sol'vychegodsk,61.3305,46.9156,18.1,95,100,9.15,RU,1612296372
Gaza,31.5,34.4667,66,57,66,3,PS,1612296372
Amapá,1.0,-52.0,78.39,93,97,3.53,BR,1612296372
Grindavik,63.8424,-22.4338,35.6,60,0,23.02,IS,1612296286
Umluj,25.0213,37.2685,74.8,76,0,5.46,SA,1612296372
Nishihara,26.1842,127.7558,60.8,54,20,8.05,JP,1612296373
Korčula,42.9622,17.1369,44.6,87,20,4.61,HR,1612296373
Dikson,73.5069,80.5464,-22.09,82,0,12.59,RU,1612296373
Española,35.9911,-106.0806,53.01,37,40,7.74,US,1612296373
Matara,5.9485,80.5353,74.59,86,22,9.93,LK,1612296373
Masallātah,32.6167,14.0,56.41,75,0,13.24,LY,1612296373
Kaputa,-8.4689,29.6619,68.25,86,95,3.22,ZM,1612296373
Talcahuano,-36.7167,-73.1167,68,73,0,12.66,CL,1612296373
New Norfolk,-42.7826,147.0587,57,70,99,1.57,AU,1612296374
Hasaki,35.7333,140.8333,26.6,86,20,2.3,JP,1612296234
Åmot,59.5714,7.9877,6.21,82,18,4.74,NO,1612296374
Aripuanã,-9.1667,-60.6333,84.72,79,98,3.67,BR,1612296374
Awjilah,29.1081,21.2869,54.59,50,5,3.56,LY,1612296374
Ushuaia,-54.8,-68.3,53.6,82,75,14.97,AR,1612296112
Bayanday,53.0661,105.5139,-12.59,88,100,0.81,RU,1612296374
Ribeira Grande,38.5167,-28.7,53.6,71,40,23.02,PT,1612296130
Richards Bay,-28.783,32.0377,70.2,76,100,4.52,ZA,1612296374
Mar del Plata,-38.0023,-57.5575,69.01,82,90,9.22,AR,1612296375
Isangel,-19.55,169.2667,80.6,89,75,11.5,VU,1612296375
Khatanga,71.9667,102.5,-29.74,84,38,8.99,RU,1612296375
Pacific Grove,36.6177,-121.9166,55,94,90,3.44,US,1612296281
Lompoc,34.6391,-120.4579,63,72,1,11.5,US,1612296375
Port Alfred,-33.5906,26.891,66.99,90,0,1.99,ZA,1612296375
Thompson,55.7435,-97.8558,15.8,92,90,4.61,CA,1612296240
Evensk,61.95,159.2333,4.17,93,100,5.57,RU,1612296375
Castro,-24.7911,-50.0119,76.71,79,9,1.63,BR,1612296376
Airai,-8.9266,125.4092,61.83,100,100,2.3,TL,1612296319
Takapau,-40.0333,176.35,63,91,0,1.01,NZ,1612296376
Wagar,16.1525,36.2032,75.29,56,0,11.41,SD,1612296376
Indaiatuba,-23.0903,-47.2181,88,48,40,6.91,BR,1612296376
Bandarbeyla,9.4942,50.8122,73.62,69,17,17.56,SO,1612296376
Marawi,7.9986,124.2928,72,94,100,5.01,PH,1612296376
Pickerington,39.8842,-82.7535,30,63,40,14.97,US,1612296376
Vaini,-21.2,-175.2,80.6,94,75,2.3,TO,1612296376
Hastings,50.8552,0.5729,51.01,86,60,8.01,GB,1612296377
Cayenne,4.9333,-52.3333,80.6,94,75,11.5,GF,1612296377
Zyryanka,65.75,150.85,-25.83,85,85,5.61,RU,1612296377
Hermanus,-34.4187,19.2345,66,86,0,7.07,ZA,1612296339
Tricase,39.9304,18.3553,51.8,100,0,6.91,IT,1612296377
Port Elizabeth,-33.918,25.5701,69.8,83,40,9.22,ZA,1612296377
Shuyskoye,59.3736,41.0305,13.17,97,83,4.76,RU,1612296377
Xining,36.6167,101.7667,17.98,60,61,3.36,CN,1612296377
Port Augusta,-32.5,137.7667,62.6,67,0,5.75,AU,1612296378
Rundu,-17.9333,19.7667,70.48,85,100,2.3,NA,1612296378
Ginda,30.6945,78.4932,41.11,52,0,6.71,IN,1612296378
Hervey Bay,-25.2986,152.8535,73.99,94,75,8.05,AU,1612296378
Lebu,-37.6167,-73.65,62.76,67,44,14.14,CL,1612296114
Bambous Virieux,-20.3428,57.7575,80.6,78,40,11.5,MU,1612296378
Hofn,64.2539,-15.2082,32.4,92,100,15.28,IS,1612296378
Seminole,28.7086,-81.2081,55.99,35,1,17.27,US,1612296378
Arkhangelsk,64.5401,40.5433,14,85,90,8.95,RU,1612296144
Fairbanks,64.8378,-147.7164,-20,69,1,2.48,US,1612296379
Puerto Escondido,15.85,-97.0667,87.8,74,1,6.91,MX,1612296379
Bathsheba,13.2167,-59.5167,82.4,57,40,19.57,BB,1612296379
Sinnamary,5.3833,-52.95,79.05,84,73,15.79,GF,1612296379
São Filipe,14.8961,-24.4956,73.15,73,1,10.87,CV,1612296380
Nikolskoye,59.7035,30.7861,24.8,86,90,6.71,RU,1612296380
Tefé,-3.3542,-64.7114,86,74,75,8.05,BR,1612296322
Mount Gambier,-37.8333,140.7667,57.2,77,90,8.05,AU,1612296380
Jamestown,42.097,-79.2353,24.01,86,90,13.8,US,1612296381
Nelson Bay,-32.7167,152.15,64.99,94,34,5.75,AU,1612296381
Pilar,-9.5972,-35.9567,82.4,69,40,13.8,BR,1612296382
Cidreira,-30.1811,-50.2056,80.64,75,0,11.21,BR,1612296382
Ponta do Sol,32.6667,-17.1,61,68,78,3,PT,1612296382
Cervo,43.6702,-7.4101,57.99,87,100,5.99,ES,1612296383
Nanortalik,60.1432,-45.2371,16.79,86,0,16.15,GL,1612296383
Tasiilaq,65.6145,-37.6368,19.4,93,90,4.61,GL,1612296383
Conceição da Barra,-18.5933,-39.7322,81.09,69,100,9.37,BR,1612296383
Shaunavon,49.6501,-108.4181,35.6,60,74,10.36,CA,1612296383
Qaanaaq,77.484,-69.3632,-7.6,85,100,4.45,GL,1612296123
Saint-Philippe,-21.3585,55.7679,80.6,78,0,2.3,RE,1612296383
Touros,-5.1989,-35.4608,82.4,65,40,17.27,BR,1612296384
Bayan,46.0833,127.4,-20.78,84,0,8.61,CN,1612296384
Cravo Norte,6.3017,-70.2041,96.03,32,86,9.26,CO,1612296384
Hithadhoo,-0.6,73.0833,82.06,73,44,4.65,MV,1612296384
Maple Creek,49.9168,-109.4848,55.4,38,63,20.71,CA,1612296384
Moyale,3.5167,39.0584,75,32,39,14.74,KE,1612296384
Voyvozh,62.892,54.9635,15.58,97,100,8.28,RU,1612296384
Arraial do Cabo,-22.9661,-42.0278,86,61,0,26.46,BR,1612296383
Chapais,49.7834,-74.8492,26.6,59,1,9.22,CA,1612296385
Saint Anthony,45.0205,-93.218,25,80,90,8.05,US,1612296385
Kawalu,-7.3817,108.2082,72.41,89,91,2.8,ID,1612296385
Mogadishu,2.0371,45.3438,76.06,77,15,22.7,SO,1612296385
Kapaa,22.0752,-159.319,75.2,83,40,14.97,US,1612296385
Faya,18.3851,42.4509,60.8,62,0,2.66,SA,1612296385
Diffa,13.3154,12.6113,74.48,16,0,9.15,NE,1612296385
San Patricio,28.017,-97.5169,71.6,40,20,9.22,US,1612296386
Saskylakh,71.9167,114.0833,-9.17,89,100,18.59,RU,1612296386
Pepingen,50.7501,4.1505,51.01,96,5,1.01,BE,1612296386
Lebedinyy,58.5167,125.5167,-36.56,81,100,6.87,RU,1612296386
Avarua,-21.2078,-159.775,84.2,74,40,9.22,CK,1612296386
Spring Hill,28.4769,-82.5255,51.8,54,20,19.57,US,1612296375
Dhidhdhoo,6.8833,73.1,81.93,71,0,4.41,MV,1612296386
Paamiut,61.994,-49.6678,5.77,83,0,16.51,GL,1612296386
Ihosy,-22.4,46.1167,72.41,88,88,9.93,MG,1612296386
Kumul,42.8,93.45,27.45,77,100,5.26,CN,1612296387
Mossamedes,-15.1961,12.1522,73.8,74,64,6.2,AO,1612296387
Alice Springs,-23.7,133.8833,73.99,40,68,3.44,AU,1612296387
Cape Town,-33.9258,18.4232,71.01,83,0,17.27,ZA,1612296376
Asău,46.4333,26.4,33.01,74,1,5.12,RO,1612296387
Deogarh,21.5333,84.7333,54.97,38,0,1.05,IN,1612296387
Krasnosel'kup,65.7,82.4667,-2.81,92,100,11.39,RU,1612296387
Moose Factory,51.2585,-80.6094,8.6,85,90,2.3,CA,1612296387
Lielvārde,56.7207,24.8074,26.6,93,90,11.5,LV,1612296388
Kwang Binh,17.4833,106.6,67.15,90,36,2.08,VN,1612296388
Ilulissat,69.2167,-51.1,-4,77,40,18.41,GL,1612296388
Saint George,37.1041,-113.5841,62.6,42,1,3.44,US,1612296388
Senador José Porfírio,-2.5908,-51.9542,88.02,58,66,2.39,BR,1612296388
Lüderitz,-26.6481,15.1594,65.59,84,0,12.3,NA,1612296388
Krasnogorskoye,52.2953,86.1979,13.91,90,92,3.76,RU,1612296388
Corinth,37.9407,22.9573,55,69,100,0.67,GR,1612296388
Tazovsky,67.4667,78.7,-2.69,92,97,13,RU,1612296389
Nome,64.5011,-165.4064,12.2,62,40,24.16,US,1612296389
Salta,-24.7859,-65.4117,69.8,73,90,10.36,AR,1612296165
Rentina,40.6574,23.614,52,76,41,1.41,GR,1612296389
Sørland,67.667,12.6934,28.4,69,75,13.8,NO,1612296389
Ostrovnoy,68.0531,39.5131,25.29,94,100,18.28,RU,1612296389
Buala,-8.145,159.5921,80.67,81,100,10.6,SB,1612296389
Butere,0.2064,34.4935,64.9,66,62,5.46,KE,1612296389
Ormara,25.2088,64.6357,70.29,73,0,11.97,PK,1612296389
Tahe,52.3333,124.7333,-20.18,78,100,8.14,CN,1612296390
Gundlupēt,11.8,76.6833,64.2,71,0,6.78,IN,1612296390
Kavaratti,10.5669,72.642,81.36,72,0,5.55,IN,1612296390
Chokurdakh,70.6333,147.9167,-5.48,89,87,11.16,RU,1612296390
Mgandu,-5.95,34.1333,63.14,88,20,4.18,TZ,1612296390
San Francisco,37.7749,-122.4194,57.99,88,90,5.75,US,1612295803
Bethanien,-26.502,17.1583,80.71,27,3,18.95,NA,1612296390
Maragogi,-9.0122,-35.2225,80.6,71,2,11.18,BR,1612296254
Guarapari,-20.6667,-40.4975,82.4,69,20,14.97,BR,1612296391
Wellington,-41.2866,174.7756,64,77,2,9.22,NZ,1612296391
Porto Seguro,-16.4497,-39.0647,82.4,69,75,14.97,BR,1612296391
Vardø,70.3705,31.1107,26.6,86,40,25.32,NO,1612296391
Killybegs,54.6333,-8.45,43,81,90,19.57,IE,1612296391
Sukumo,32.9333,132.7333,36.7,79,1,11.65,JP,1612296391
Naifaru,5.4444,73.3657,82.2,77,67,16.26,MV,1612296391
Ambilobe,-13.2,49.05,75.61,90,99,1.95,MG,1612296391
Harper,4.375,-7.7169,78.8,88,4,5.35,LR,1612296391
Fortuna,40.5982,-124.1573,53.01,81,1,3.56,US,1612296392
Methóni,36.8197,21.7049,55,100,96,3.44,GR,1612296392
Kloulklubed,7.0419,134.2556,75.2,94,75,4.61,PW,1612296392
Kushiro,42.975,144.3747,12.56,86,2,21.41,JP,1612296392
Igboho,8.8333,3.75,81.41,16,0,3.94,NG,1612296392
Kahului,20.8947,-156.47,77,61,20,2.15,US,1612296392
Namatanai,-3.6667,152.4333,76.78,90,100,16.8,PG,1612296392
Yumen,40.2833,97.2,26.37,66,100,10.98,CN,1612296392
Tuktoyaktuk,69.4541,-133.0374,-31,68,20,6.91,CA,1612296393
Dingle,10.9995,122.6711,73.85,92,100,7.96,PH,1612296393
Guerrero Negro,27.9769,-114.0611,76.21,25,100,1.34,MX,1612296393
Ketchikan,55.3422,-131.6461,35.6,93,1,4.61,US,1612296209
Barrow,71.2906,-156.7887,-22,76,1,12.66,US,1612296393
Sola,-13.8833,167.55,81.48,80,100,23.76,VU,1612296393
Takaka,-40.85,172.8,61,88,0,1.21,NZ,1612296394
Hamilton,39.1834,-84.5333,34,51,1,20.71,US,1612296336
Lábrea,-7.2586,-64.7981,90.93,55,100,2.75,BR,1612296394
Gornopravdinsk,60.05,69.9,17.15,97,100,3.47,RU,1612296394
Constitución,-35.3333,-72.4167,66.69,65,14,5.84,CL,1612296317
Alofi,-19.0595,-169.9187,82.4,83,75,12.66,NU,1612296394
San Quintín,30.4833,-115.95,68.47,51,67,13,MX,1612296394
Sumbe,-11.2061,13.8437,77.04,78,84,6.29,AO,1612296394
Rawson,-43.3002,-65.1023,80.4,26,0,12.12,AR,1612296394
San Joaquin,37.9333,-121.3011,55.99,94,90,4.61,US,1612296395
Gondanglegi,-7.7479,112.0132,74.64,92,100,1.07,ID,1612296395
Sabha,27.0377,14.4283,55.4,49,2,9.4,LY,1612296395
Sisimiut,66.9395,-53.6735,-5.49,82,0,12.08,GL,1612296395
Sotnikovo,51.8845,107.4791,-18.4,76,40,1.43,RU,1612296395
Saint-Pierre,-21.3393,55.4781,80.6,78,0,2.3,RE,1612296375
Kavieng,-2.5744,150.7967,81.36,78,100,12.06,PG,1612296395
Saint Paul Harbor,57.79,-152.4072,30.2,86,90,15.59,US,1612296395
Dubbo,-32.25,148.6167,59,88,50,10.36,AU,1612296176
Karaton,-6.3424,106.1045,77,94,75,6.91,ID,1612296396
Ţahţā,26.7693,31.5021,58.48,33,0,3.24,EG,1612296396
Ahipara,-35.1667,173.1667,65.55,73,1,2.71,NZ,1612296396
Anadyr,64.75,177.4833,14,79,75,11.18,RU,1612296396
Roebourne,-20.7833,117.1333,81.03,82,43,13.78,AU,1612296396
São Gabriel da Cachoeira,-0.1303,-67.0892,89.6,66,40,4.61,BR,1612296396
Trairi,-3.2778,-39.2689,82.47,66,0,13.24,BR,1612296396
Batemans Bay,-35.7167,150.1833,62.01,69,90,4,AU,1612296397
Kyaikkami,16.08,97.5675,76.06,46,0,5.17,MM,1612296397
Bandi̇̄pur,27.9333,84.4167,42.76,68,0,2.75,NP,1612296397
Nemuro,43.3236,145.575,16.07,83,21,26.22,JP,1612296161
Honiara,-9.4333,159.95,78.76,83,78,7.27,SB,1612296397
Haines Junction,60.7522,-137.5108,-20.2,76,96,1.5,CA,1612296286
Distrikt Brokopondo,4.75,-55.1667,80.13,85,58,7.54,SR,1612296397
Caucaia,-3.7361,-38.6531,84.2,65,20,12.66,BR,1612296397
Los Llanos de Aridane,28.6585,-17.9182,66.2,72,90,10.36,ES,1612296132
Hirara,24.8,125.2833,64.13,75,81,24.65,JP,1612296398
Carnarvon,-24.8667,113.6333,75.2,100,40,21.85,AU,1612296195
Dahuk,36.8695,42.994,45.32,58,0,3.36,IQ,1612296398
Walvis Bay,-22.9575,14.5053,68,77,0,6.91,NA,1612296398
Gelemso,8.8167,40.5167,59.63,34,0,4.25,ET,1612296398
Čelinac,44.7228,17.3278,35.6,100,90,2.3,BA,1612296204
Ferrol,43.4832,-8.2369,59,71,100,18.99,ES,1612296398
Champerico,14.3,-91.9167,93.2,43,20,6.91,GT,1612296398
São João da Barra,-21.6403,-41.0511,84.2,54,0,20.71,BR,1612296132
Namtsy,62.7161,129.6658,-38.2,60,100,8.95,RU,1612296399
Tiksi,71.6872,128.8694,-0.67,93,100,15.43,RU,1612296399
Puerto Ayora,-0.7393,-90.3518,84.2,70,0,19.57,EC,1612296399
Kangaatsiaq,68.3065,-53.4641,1.72,93,99,11.88,GL,1612296399
Sabaudia,41.3003,13.0282,51.01,90,1,3,IT,1612296399
Prior Lake,44.7133,-93.4227,25,86,90,8.05,US,1612296399
Fare,-16.7,-151.0167,80.87,78,0,14.76,PF,1612296399
Qasigiannguit,68.8193,-51.1922,-4,77,40,18.41,GL,1612296399
Geraldton,-28.7667,114.6,73.4,83,75,13.8,AU,1612296250
Rochegda,62.8,43.25,8.38,96,100,5.77,RU,1612296400
Waipawa,-41.4122,175.5153,64,77,1,9.22,NZ,1612296400
Salekhard,66.53,66.6019,8.13,95,100,6.04,RU,1612296400
Faanui,-16.4833,-151.75,81.16,76,23,14.18,PF,1612296400
Bauchi,10.5,10.0,76.41,18,0,6.93,NG,1612296400
Sartell,45.6216,-94.2069,24.01,86,90,10.36,US,1612296248
Kununurra,-15.7667,128.7333,77,100,40,8.05,AU,1612296400
Kargil,34.5667,76.1,-0.58,75,100,1.43,IN,1612296400
Kargasok,59.0556,80.8572,8.85,95,100,7.61,RU,1612296401
Gambēla,8.25,34.5833,84.97,31,0,2.64,ET,1612296401
Itarema,-2.9248,-39.9167,82.53,67,0,16.75,BR,1612296401
Narsaq,60.9167,-46.05,24.8,63,75,5.75,GL,1612296401
Boende,-0.2167,20.8667,78.89,73,66,2.98,CD,1612296401
Jadu,31.953,12.0261,51.19,60,0,3.2,LY,1612296401
Tuatapere,-46.1333,167.6833,60.08,82,100,3.33,NZ,1612296401
Omboué,-1.5746,9.2618,78.93,87,70,4.07,GA,1612296402
Provideniya,64.3833,-173.3,7.63,91,100,15.52,RU,1612296402
Arrondissement de Saint-Denis,48.9167,2.3333,55.4,76,75,13.8,FR,1612296402
Hyères,43.1167,6.1167,57,82,0,2.3,FR,1612296402
Rāmānuj Ganj,23.8,83.7,51.08,46,0,2.55,IN,1612296402
Mahébourg,-20.4081,57.7,80.6,78,40,11.5,MU,1612296402
Pochutla,15.7432,-96.4661,87.01,58,1,11.5,MX,1612296402
Vao,-22.6667,167.4833,77.49,87,100,43.22,NC,1612296402
Qujing,25.4833,103.7833,46,68,3,1.99,CN,1612296403
Pisco,-13.7,-76.2167,82.4,47,0,12.66,PE,1612296273
Wadena,46.4425,-95.1361,21.2,100,90,10.36,US,1612296403
Emerald,-23.5333,148.1667,77,73,47,9.22,AU,1612296403
Karlstad,59.3793,13.5036,21.2,93,90,10.36,SE,1612296403
Shaoguan,24.8,113.5833,61.54,65,91,2.8,CN,1612296403
Tarakan,3.3,117.6333,75.76,87,100,8.46,ID,1612296403
Abū Zabad,12.35,29.25,78.82,17,0,10.65,SD,1612296403
Mount Isa,-20.7333,139.5,77,83,43,11.36,AU,1612296404
Borogontsy,62.6683,131.1683,-44.01,79,100,1.39,RU,1612296404
Chapada dos Guimarães,-15.4606,-55.7497,95,46,75,6.91,BR,1612296404
Arrondissement de Senlis,49.25,2.6667,55.4,76,75,13.8,FR,1612296404
Lavrentiya,65.5833,-171.0,4.95,90,100,20.09,RU,1612296404
Hong Kong,22.2855,114.1577,63,80,78,5.01,HK,1612296172
Puro,12.4841,123.3827,77.36,81,86,14.18,PH,1612296404
Tura,25.5198,90.2201,57.33,54,0,2.8,IN,1612296404
Namwala,-15.7504,26.4384,67.82,92,100,2.64,ZM,1612296404
Lodwar,3.1191,35.5973,84.34,36,0,14.25,KE,1612296405
Coquimbo,-29.9533,-71.3436,66.2,63,0,12.66,CL,1612296231
Tomatlán,19.9333,-105.25,87.6,46,99,8.5,MX,1612296405
Torbay,47.6666,-52.7314,28.99,74,90,8.05,CA,1612296316
Baruun-Urt,46.6806,113.2792,-13.49,84,1,8.77,MN,1612296405
Pidhaytsi,49.2685,25.1334,30.99,92,42,5.1,UA,1612296405
Guisa,20.255,-76.5386,80.6,41,40,9.22,CU,1612296405
Yangi Marg`ilon,40.4272,71.7189,37.4,65,33,4.61,UZ,1612296244
Itacurubí del Rosario,-24.5,-56.6833,89.98,74,100,2.51,PY,1612296406
Benguela,-12.5763,13.4055,75.72,76,88,5.17,AO,1612296406
Zhangaözen,43.3,52.8,43.72,64,84,18.25,KZ,1612296406
Campbell River,50.0163,-125.2446,44.01,100,75,2.66,CA,1612296261
Amalāpuram,16.5833,82.0167,65.97,83,0,3.13,IN,1612296406
Urmia,37.5527,45.0761,30.2,86,0,6.91,IR,1612296406
Kamenka,51.3223,42.7678,32,96,100,5.48,RU,1612296406
Vilhena,-12.7406,-60.1458,82.4,65,40,2.3,BR,1612296406
Mayo,38.8876,-76.5119,36,80,90,9.22,US,1612296407
Sikeston,36.8767,-89.5879,41,65,1,6.91,US,1612296127
Provincia di Biella,45.5871,8.0859,42.01,91,29,0.85,IT,1612296407
Härnösand,62.6323,17.9379,12.99,85,90,11.5,SE,1612296407
Mezen',65.8522,44.24,17.94,97,100,6.08,RU,1612296407
Rock Springs,41.5875,-109.2029,39.2,45,1,3.44,US,1612296255
Channapatna,12.65,77.2167,65.97,80,0,8.37,IN,1612296407
Lata,40.1629,-8.3327,57.99,96,100,11.99,PT,1612296407
Usevya,-7.1,31.2333,68.05,84,94,3.53,TZ,1612296408
Longyearbyen,78.2186,15.6401,19.4,93,90,9.22,SJ,1612296408
Laguna,38.421,-121.4238,55.4,88,90,4.61,US,1612296408
Ha Tinh,18.3333,105.9,63.72,93,21,1.34,VN,1612296408
East London,-33.0153,27.9116,71.47,76,95,19.64,ZA,1612296209
Katobu,-4.9408,122.5276,75.99,91,98,4,ID,1612296408
Cantaura,9.3057,-64.3584,88.68,37,21,10.56,VE,1612296408
Lingao,19.9103,109.6859,64.67,94,3,8.86,CN,1612296408
Arlington,32.7357,-97.1081,64,25,1,9.22,US,1612296408
Petatlán,17.5167,-101.2667,87.8,66,1,6.91,MX,1612296241
Papara,-3.9839,-38.7273,84.2,65,20,12.66,BR,1612296409
Silkeborg,56.1697,9.5451,28,100,75,1.14,DK,1612296390
Cap-aux-Meules,47.3821,-61.8597,30.2,100,100,27.63,CA,1612296409
Tarauacá,-8.1614,-70.7656,91.89,49,15,2.42,BR,1612296409
Hua Hin,12.5707,99.9588,69.01,98,5,6.49,TH,1612296409
Chitral,35.8462,71.7858,31.06,66,3,5.77,PK,1612296409
Port Hedland,-20.3167,118.5667,82.4,83,90,10.36,AU,1612296409
Alihe,50.5667,123.7167,-22.16,80,0,4.18,CN,1612296409
Mina,26.0011,-100.5299,68,30,40,11.5,MX,1612296410
Arima,10.6333,-61.2833,86,58,40,13.8,TT,1612296410
Quang Ngai,15.1167,108.8,69.19,87,97,2.89,VN,1612296410
Kropotkin,45.4375,40.5756,47.7,61,21,6.51,RU,1612296134
Qaqortoq,60.7167,-46.0333,24.8,63,75,5.75,GL,1612296410
Port Lincoln,-34.7333,135.8667,60.1,86,47,11.68,AU,1612296410
Wattegama,6.7989,81.4808,72.37,90,94,7.2,LK,1612296410
Upernavik,72.7868,-56.1549,-7.58,87,100,5.7,GL,1612296179
Uvira,-3.4067,29.1458,73.99,62,97,0.78,CD,1612296411
Yenagoa,4.9247,6.2642,79.92,83,11,4.74,NG,1612296411
Monywa,22.1167,95.1333,62.91,41,0,3.27,MM,1612296411
Gimbi,9.1667,35.8333,63.23,44,38,3.53,ET,1612296411
Westport,41.1415,-73.3579,35.6,75,90,14.97,US,1612296177
Yalutorovsk,56.6536,66.3006,34.32,93,100,13.67,RU,1612296411
Mahibadhoo,3.7833,72.9667,82.44,79,45,17.76,MV,1612296411
Vestmannaeyjar,63.4427,-20.2734,35.6,75,20,32.21,IS,1612296412
Pevek,69.7008,170.3133,9.57,91,100,10.74,RU,1612296412
Pangnirtung,66.1451,-65.7125,-22,63,20,1.59,CA,1612296412
Innisfail,-17.5333,146.0333,72.61,84,81,3.2,AU,1612296412
Nuuk,64.1835,-51.7216,8.6,56,75,11.5,GL,1612296412
Cherskiy,68.75,161.3,-5.8,88,0,2.24,RU,1612296412
Maragheh,37.3917,46.2398,31.46,81,6,1.81,IR,1612296412
Vokhtoga,58.8147,41.0461,13.55,97,28,5.3,RU,1612296412
Bambanglipuro,-7.95,110.2833,77.88,86,92,3.49,ID,1612296413
Mucuri,-18.0864,-39.5508,80.69,72,100,12.82,BR,1612296318
Dombarovskiy,50.7587,59.5386,33.98,91,100,15.32,RU,1612296413
Sakakah,29.9697,40.2064,64.4,29,0,14.97,SA,1612296413
Bendigo,-36.7667,144.2833,52,50,0,4.94,AU,1612296413
Bikin,46.8161,134.26,-24.36,81,37,6.13,RU,1612296413
Raja,8.4596,25.678,79.65,30,17,4.03,SS,1612296413
Berkåk,62.825,10.0118,9.81,78,100,5.3,NO,1612296414
Magdagachi,53.45,125.8,-24.92,80,13,7.18,RU,1612296414
Gigmoto,13.7796,124.39,77.38,84,100,13.49,PH,1612296414
Yārāda,17.65,83.2667,66.2,88,0,2.3,IN,1612296414
Beaverlodge,55.2166,-119.4361,-4,84,90,16.11,CA,1612296414
Beringovskiy,63.05,179.3167,8.35,95,100,7.07,RU,1612296414
São João do Piauí,-8.3581,-42.2467,89.73,47,62,3.29,BR,1612296414
Banda Aceh,5.5577,95.3222,77.94,82,47,8.99,ID,1612296414
Alyangula,-13.8483,136.4192,80.6,94,100,3.44,AU,1612296414
Norman Wells,65.282,-126.8329,-18.4,76,90,16.11,CA,1612296415
Disna,55.568,28.1971,22.48,97,100,15.73,BY,1612296415
New Plymouth,-39.0667,174.0833,69.01,71,0,3,NZ,1612296415
Imeni Poliny Osipenko,52.4201,136.4853,-29.74,84,100,2.95,RU,1612296415
West Bay,19.3667,-81.4167,78.8,50,40,10.36,KY,1612296415
Tornio,65.8481,24.1466,-16.6,76,0,5.75,FI,1612296415
